accession,pubmed_ids,dois,pmcids
PXD017661,[32143690],10.1186/s13287-020-01591-0,PMC7060566
PXD017670,[32444788],10.1038/s42003-020-0982-5,PMC7244511
PXD017671,[32277923],10.1016/j.molmet.2020.100978,PMC7184181
PXD017672,[33557580],10.1161/circresaha.120.316966,PMC8048381
PXD017673,[32510216],10.1021/jasms.0c00064,
PXD017678,[32488939],10.15252/embj.2019103812,PMC7360968
PXD017679,[32686005],10.1007/s00253-020-10787-6,
PXD017681,,10.1038/S41598-021-83591-5,
PXD017683,[32488939],10.15252/embj.2019103812,PMC7360968
PXD017697,[32937131],10.1016/j.celrep.2020.108146,PMC7495044
PXD017700,[34222397],10.3389/fvets.2021.666769,PMC8249566
PXD017702,[32325903],10.3390/ijms21082860,PMC7215441
PXD017703,[33257825],10.1038/s41592-020-00998-0,
PXD017704,[32531271],10.1016/j.ccell.2020.05.003,PMC7363571
PXD017710,[32408336],10.1038/s41586-020-2332-7,PMC7616921
PXD017716,[33024055],10.18632/aging.104069,PMC7732273
PXD017717,[32332101],10.1074/jbc.ra119.012372,PMC7294093
PXD017722,[34370559],10.1128/jb.00399-21,PMC8508121
PXD017723,[32606017],10.1074/mcp.ra120.002163,PMC8015000
PXD017728,[32957906],10.1186/s12870-020-02642-7,PMC7507648
PXD017729,[32432549],10.7554/elife.56325,PMC7239659
PXD017731,[32951420],10.1021/acs.jproteome.0c00578,
PXD017738,[34301255],10.1186/s12934-021-01633-z,PMC8305865
PXD017740,[33382035],10.7554/elife.64940,PMC7857729
PXD017743,[32313009],10.1038/s41467-020-15606-0,PMC7171146
PXD017747,[32277127],10.1038/s41598-020-63321-z,PMC7148315
PXD017754,[32898700],10.1016/j.jprot.2020.103963,PMC7567960
PXD017755,[32293536],10.1186/s13395-020-00226-5,PMC7087369
PXD017757,[32409602],10.1073/pnas.1918196117,PMC7275751
PXD017759,[32575983],10.1021/acs.jproteome.0c00207,PMC8008451
PXD017761,[32652222],10.1016/j.jprot.2020.103896,
PXD017762,[32640994],10.1186/s12866-020-01877-6,PMC7341715
PXD017767,[32461302],10.1104/pp.20.00222,PMC7401105
PXD017768,[32645476],10.1016/j.jprot.2020.103885,
PXD017769,[24603811],10.1371/journal.ppat.1003985,PMC3946448
PXD017770,[32461302],10.1104/pp.20.00222,PMC7401105
PXD017772,[32484548],10.1093/nar/gkaa460,PMC7367195
PXD017775,[35179492],10.7554/elife.75827,PMC8906807
PXD017776,[32081780],10.1016/j.actbio.2020.02.018,
PXD017778,[32369372],10.1021/acs.jproteome.0c00065,
PXD017779,[33898396],10.3389/fbioe.2021.569045,PMC8062983
PXD017780,[32178365],10.3390/v12030308,PMC7150786
PXD017783,[36376313],10.1038/s41467-022-34539-4,PMC9663514
PXD017784,[33496751],10.1182/bloodadvances.2020002442,PMC7839360
PXD017786,[32863211],10.1016/j.redox.2020.101633,PMC7358542
PXD017787,[32998073],10.1016/j.molimm.2020.09.005,
PXD017788,[32425810],10.3389/fphys.2020.00396,PMC7204509
PXD017789,[32673341],10.1371/journal.pone.0235850,PMC7365443
PXD017792,[32303640],10.1074/jbc.ra120.012761,PMC7278340
PXD017799,[32397227],10.3390/jcm9051389,PMC7290998
PXD017800,[32351493],10.3389/fmicb.2020.00691,PMC7176365
PXD017801,[32873641],10.1073/pnas.2006283117,PMC7519391
PXD017802,[36590505],10.1016/j.heliyon.2022.e12380,PMC9800200
PXD017803,[32202424],10.1021/jasms.0c00029,PMC7332369
PXD017804,[32328356],10.7717/peerj.9009,PMC7164430
PXD017805,[32292355],10.3389/fphys.2020.00259,PMC7135893
PXD017806,[32376827],10.1038/s41467-020-15902-9,PMC7203109
PXD017807,[32937373],10.1126/sciadv.abc0629,PMC7442474
PXD017809,[37078828],10.1002/advs.202205818,PMC10265107
PXD017812,[33687211],10.1021/acs.analchem.0c05002,PMC10666926
PXD017817,[34746449],10.1016/j.bbrep.2021.101154,PMC8554454
PXD017818,[32210242],10.1038/s41467-020-15344-3,PMC7093394
PXD017819,[32292350],10.3389/fphar.2020.00379,PMC7118906
PXD017821,[32641473],10.1074/mcp.ra120.002152,PMC8015011
PXD017822,[33370419],10.1371/journal.ppat.1008861,PMC7794026
PXD017823,[32126768],10.1021/acs.jproteome.9b00860,PMC7295121
PXD017824,[33298915],10.1093/nar/gky1106,PMC7726561
PXD017827,[32231136],10.3390/v12040375,PMC7232392
PXD017828,[32438588],10.3390/microorganisms8050759,PMC7285479
PXD017832,[32625174],10.3389/fmicb.2020.01191,PMC7313396
PXD017833,[32319721],10.15252/msb.20199270,PMC7175467
PXD017836,[33012227],10.1098/rstb.2019.0584,PMC7702802
PXD017837,[32671157],10.1016/j.dib.2020.105954,PMC7339029
PXD017839,[33298915],10.1093/nar/gky1106,PMC7726561
PXD017840,[32511785],10.15252/embj.2019103912,PMC7360963
PXD017844,[33105702],10.3390/genes11111245,PMC7690385
PXD017847,[33060577],10.1038/s41467-020-18814-w,PMC7567890
PXD017849,[35390676],10.1016/j.redox.2022.102303,PMC8990215
PXD017850,[35289089],10.1002/jev2.12205,PMC8920962
PXD017851,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017852,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017853,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017855,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017856,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017857,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017858,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017859,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017860,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017861,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD017862,[33376863],10.1021/acsomega.0c03910,PMC7758887
PXD017863,,10.1186/S12964-023-01437-1,
PXD017864,[32498228],10.3390/vaccines8020269,PMC7349930
PXD017865,[33687211],10.1021/acs.analchem.0c05002,PMC10666926
PXD017866,[32811973],10.1038/s41418-020-00604-y,PMC7852673
PXD017867,[32235494],10.3390/ijms21072371,PMC7177439
PXD017868,[32645368],10.1016/j.molcel.2020.06.029,PMC7416808
PXD017869,[32428081],10.1590/0074-02760190457,PMC7233268
PXD017873,[33523959],10.1126/sciadv.aba5743,PMC7787483
PXD017882,[32234761],10.1074/jbc.ra119.012098,PMC7242716
PXD017887,,10.1016/J.MOLCEL.2020.05.017,
PXD017888,,10.1016/J.MOLCEL.2020.05.017,
PXD017893,[33139726],10.1038/s41467-020-19326-3,PMC7606564
PXD017895,[33932333],10.1016/j.devcel.2021.03.030,PMC8207821
PXD017896,,10.1016/J.CELL.2022.11.011,
PXD017898,[32272809],10.3390/cancers12040905,PMC7226530
PXD017899,[35289089],10.1002/jev2.12205,PMC8920962
PXD017900,[32793586],10.3389/fcell.2020.00577,PMC7386314
PXD017902,[35454907],10.3390/cancers14082001,PMC9031064
PXD017903,[34253062],10.1128/mbio.01416-21,PMC8406309
PXD017904,[33467856],10.1021/acs.jproteome.0c00350,PMC7871992
PXD017906,[32887625],10.1186/s12967-020-02498-3,PMC7487897
PXD017907,[33335682],10.1016/j.csbj.2020.10.042,PMC7720074
PXD017908,[36480982],10.1016/j.cub.2022.11.020,
PXD017913,[32147508],10.1016/j.matbio.2020.02.005,PMC7327512
PXD017914,[33847896],10.1007/s13402-021-00606-z,
PXD017915,[33687211],10.1021/acs.analchem.0c05002,PMC10666926
PXD017916,[32252825],10.1186/s40478-020-00911-y,PMC7137436
PXD017917,[32710983],10.1016/j.jmb.2020.07.013,PMC7502552
PXD017918,[32502341],10.1021/acs.analchem.0c01545,
PXD017922,[30315122],"10.1126/sciimmunol.aar3947,10.1126/SCIIMMUNOL.AAR3947",
PXD017923,[32184267],10.1242/jcs.241976,PMC7197872
PXD017924,[32414842],10.1074/jbc.ra120.012627,PMC7415973
PXD017925,[32395580],10.1016/j.dib.2020.105606,PMC7210391
PXD017931,[33412091],10.1016/j.str.2020.12.006,PMC8675206
PXD017934,[32376616],10.1074/mcp.ra120.002029,PMC8015009
PXD017935,[32332720],10.1038/s41467-020-15738-3,PMC7181671
PXD017936,[33501852],10.1161/circresaha.120.318511,PMC8313652
PXD017940,[33315086],10.1084/jem.20200622,PMC7927433
PXD017941,[33205023],10.1016/j.isci.2020.101711,PMC7649354
PXD017942,[33261663],10.1186/s13071-020-04477-5,PMC7706286
PXD017943,[32811146],10.1021/acs.jproteome.0c00354,
PXD017944,[32463804],10.1172/jci.insight.138295,PMC7406294
PXD017945,[33467856],10.1021/acs.jproteome.0c00350,PMC7871992
PXD017946,[32966799],10.1016/j.celrep.2020.108171,
PXD017953,[33650121],10.1111/tpj.15219,
PXD017958,[33078583],10.1002/jcsm.12632,PMC7749575
PXD017959,[32968134],10.1038/s41598-020-72569-4,PMC7512004
PXD017960,[33380522],10.1681/asn.2020040424,PMC8054883
PXD017963,[32884030],10.1038/s41598-020-71419-7,PMC7471699
PXD017964,[33558481],10.1038/s41419-021-03437-w,PMC7870818
PXD017965,[32571191],10.1134/s0006297920050107,
PXD017968,[31599373],10.1007/s10565-019-09494-4,PMC7320927
PXD017972,[34575877],10.3390/ijms22189716,PMC8467347
PXD017973,[33225887],10.1186/s12864-020-07194-6,PMC7682106
PXD017977,[32679819],10.3390/ijms21144998,PMC7403994
PXD017979,[32582686],10.3389/fcell.2020.00335,PMC7286385
PXD017983,[32249768],10.1038/s41467-020-15578-1,PMC7136256
PXD017986,[34050779],10.1007/s00204-021-03075-3,PMC8241807
PXD017987,[33151931],10.1371/journal.pgen.1009071,PMC7671503
PXD017988,[33151931],10.1371/journal.pgen.1009071,PMC7671503
PXD017989,[32325029],10.1016/j.molcel.2020.03.030,PMC7276986
PXD017990,[33151931],10.1371/journal.pgen.1009071,PMC7671503
PXD017992,[33304200],10.7171/jbt.2020-3201-001,
PXD017993,[32811146],10.1021/acs.jproteome.0c00354,
PXD017994,[32396726],10.1021/acs.jproteome.0c00151,PMC7479851
PXD017997,[34610315],10.1016/j.celrep.2021.109797,
PXD017998,[32591337],10.1194/jlr.ra120000691,PMC7397743
PXD018000,[32350248],10.1038/s41467-020-15872-y,PMC7190641
PXD018001,[32663363],10.1002/pmic.201900049,
PXD018002,[36171374],10.1038/s41586-022-05217-8,
PXD018005,[35019937],10.1083/jcb.202003143,PMC8759595
PXD018007,[33277478],10.1038/s41467-020-19990-5,PMC7718258
PXD018011,[32760417],10.3389/fpls.2020.01069,PMC7373745
PXD018013,[33557580],10.1161/circresaha.120.316966,PMC8048381
PXD018020,[32853775],10.1016/j.bbapap.2020.140529,
PXD018021,[32378798],10.15252/emmm.201911419,PMC7278547
PXD018022,[33591270],10.7554/elife.52770,PMC7972479
PXD018023,[33870183],10.1016/j.urine.2020.05.002,PMC8052098
PXD018024,[33657365],10.1016/j.celrep.2021.108787,
PXD018025,[33550886],10.1080/19490976.2021.1882928,PMC7889221
PXD018027,[32636248],10.1128/mbio.00984-20,PMC7343991
PXD018028,[32286293],10.1038/s41467-020-15628-8,PMC7156744
PXD018033,,10.1007/978-1-0716-1178-4_18,
PXD018035,[32320653],10.1016/j.celrep.2020.107547,
PXD018039,[33687211],10.1021/acs.analchem.0c05002,PMC10666926
PXD018040,[34380038],10.1016/j.celrep.2021.109512,PMC8447243
PXD018041,[32647375],10.1038/s42003-020-1092-0,PMC7347935
PXD018043,[32223200],10.1021/jasms.0c00035,PMC7909725
PXD018044,[32636248],10.1128/mbio.00984-20,PMC7343991
PXD018045,[37298114],10.3390/ijms24119162,PMC10252897
PXD018047,[32853754],10.1016/j.jprot.2020.103947,
PXD018048,[32325029],10.1016/j.molcel.2020.03.030,PMC7276986
PXD018049,[33480129],10.15252/embr.201949651,PMC7926235
PXD018050,[33057088],10.1038/s41598-020-74258-8,PMC7560828
PXD018052,[33293632],10.1038/s41598-020-78629-z,PMC7722897
PXD018053,[32935914],10.1111/jcmm.15855,PMC7579703
PXD018054,[32964716],10.1021/acs.jproteome.0c00652,
PXD018055,[32484803],10.1172/jci132489,PMC7456241
PXD018056,[34145271],10.1038/s41467-021-24083-y,PMC8213820
PXD018059,[32708775],10.3390/biom10071066,PMC7407331
PXD018060,[32640994],10.1186/s12866-020-01877-6,PMC7341715
PXD018061,[32451488],10.1038/s41594-020-0427-3,
PXD018063,[33687211],10.1021/acs.analchem.0c05002,PMC10666926
PXD018066,[32343577],10.1021/acs.jproteome.9b00832,
PXD018069,[33123298],10.1007/s12520-020-01199-8,PMC7584537
PXD018071,[32817453],10.1128/msphere.00535-20,PMC7426169
PXD018075,[32320651],10.1016/j.celrep.2020.107541,
PXD018077,[33567280],10.1016/j.celrep.2021.108742,PMC7873837
PXD018078,[32320653],10.1016/j.celrep.2020.107547,
PXD018079,[33536615],10.1038/s41586-020-03144-0,PMC7969354
PXD018080,[32375055],10.1016/j.celrep.2020.107540,PMC7254694
PXD018083,[32661310],10.1038/s41467-020-17212-6,PMC7359353
PXD018087,[33619274],10.1038/s41467-021-21306-0,PMC7900238
PXD018088,[32665600],10.1038/s41598-020-68483-4,PMC7360600
PXD018090,[33706811],10.1186/s13059-021-02298-y,PMC7948361
PXD018091,[33125582],10.1186/s13568-020-01131-2,PMC7599288
PXD018093,[38229153],10.1186/s13148-024-01623-z,PMC10792938
PXD018096,[33403290],10.1021/acsomega.0c04983,PMC7774288
PXD018098,[32420802],10.1080/21505594.2020.1770482,PMC7549962
PXD018099,[33567651],10.3390/biom11020240,PMC7915340
PXD018100,[32973189],10.1038/s41598-020-72391-y,PMC7519054
PXD018104,[34654883],10.1038/s42003-021-02722-w,PMC8519955
PXD018106,[32433913],10.1016/j.devcel.2020.04.019,PMC7280788
PXD018110,[33239640],10.1038/s41467-020-19840-4,PMC7689464
PXD018111,"[32637494, 32247875]","10.1016/j.dib.2020.105887,10.1016/j.jprot.2020.103765",PMC7326716
PXD018112,[32447284],10.1074/mcp.ra120.002059,PMC8015003
PXD018113,[32454028],10.1016/j.molcel.2020.04.032,PMC7332993
PXD018114,[32975947],10.1021/acs.jproteome.0c00581,
PXD018117,[32511329],10.1101/2020.03.22.002386,PMC7239059
PXD018118,[35266843],10.1080/15548627.2022.2047481,PMC9673962
PXD018123,[32669635],10.1038/s41598-020-68582-2,PMC7363858
PXD018124,[32345368],10.1186/s13073-020-00740-7,PMC7189544
PXD018129,[35138895],10.1126/sciadv.abj4437,PMC8827656
PXD018130,[32501701],10.1021/acs.jproteome.0c00054,
PXD018131,[32404936],10.1038/s41467-020-16167-y,PMC7220953
PXD018132,[37267106],10.1016/j.celrep.2023.112583,
PXD018140,[32976891],10.1016/j.neuropharm.2020.108324,PMC8148297
PXD018141,[32344669],10.3390/biom10040661,PMC7226388
PXD018142,[32279365],10.1111/mec.15437,
PXD018143,[32421830],10.1093/nar/gkaa344,PMC7293028
PXD018145,[33268777],10.1038/s41467-020-20032-3,PMC7710758
PXD018147,[32483152],10.1038/s41467-020-16553-6,PMC7264179
PXD018148,[34022944],10.1186/s13068-021-01970-6,PMC8141184
PXD018150,[33608974],10.1111/tpj.15206,
PXD018151,[32644114],10.1084/jem.20200206,PMC7537397
PXD018152,[33073088],10.1021/acsomega.0c02564,PMC7557219
PXD018154,[33608523],10.1038/s41467-021-21344-8,PMC7895969
PXD018156,[35157847],10.1016/j.jbc.2022.101723,PMC8969154
PXD018157,[32728863],10.1007/s00216-020-02825-z,
PXD018158,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD018159,[32358503],10.1038/s41467-020-15895-5,PMC7195429
PXD018160,[32907583],10.1186/s12951-020-00676-5,PMC7487953
PXD018162,[32965214],10.7554/elife.60647,PMC7577742
PXD018163,[34289370],10.1016/j.celrep.2021.109406,PMC8493472
PXD018165,[32233093],10.1002/anie.202002626,
PXD018167,[32886756],10.1093/glycob/cwaa084,
PXD018168,[33687715],10.1007/978-1-0716-1178-4_11,
PXD018170,[35503420],10.1172/jci150951,PMC9246383
PXD018171,[32954517],10.15252/embj.2020105693,PMC7560198
PXD018172,[32974652],10.1093/nar/gkaa697,PMC7515732
PXD018173,[33436375],10.1212/nxi.0000000000000941,PMC8105904
PXD018174,[32929035],10.1073/pnas.2004900117,PMC7533878
PXD018175,[34272378],10.1038/s41467-021-24532-8,PMC8285382
PXD018176,[32352297],10.1021/jasms.0c00106,PMC7273743
PXD018178,[32966608],10.1111/bjh.17081,
PXD018186,[32347575],10.15252/embj.2019104133,PMC7298298
PXD018187,[33326776],10.1016/j.celrep.2020.108510,PMC7812972
PXD018189,[32694122],10.1074/mcp.ra120.002094,PMC8015012
PXD018191,[32445698],10.1016/j.cell.2020.04.047,PMC10782558
PXD018192,[32483281],10.1038/s41598-020-65699-2,PMC7264250
PXD018193,[33382035],10.7554/elife.64940,PMC7857729
PXD018204,[32826910],10.1038/s41467-020-18071-x,PMC7442650
PXD018205,[32518324],10.1038/s41467-020-16568-z,PMC7283339
PXD018207,[32542338],10.1093/nar/gkaa501,PMC7367208
PXD018208,[32223173],10.1021/acs.jproteome.0c00051,PMC7473422
PXD018209,[32531271],10.1016/j.ccell.2020.05.003,PMC7363571
PXD018211,[32311173],10.1111/tpj.14773,
PXD018214,[32375062],10.1016/j.cmet.2020.04.011,PMC9375823
PXD018215,[32521225],10.1016/j.molcel.2020.05.035,PMC7369636
PXD018216,[32769093],10.1074/mcp.ra120.002231,PMC7664117
PXD018217,[33321094],10.1016/j.molcel.2020.11.029,PMC7864614
PXD018218,[33502086],10.15252/msb.20209730,PMC7838823
PXD018219,[32459472],10.1021/acs.biochem.0c00268,
PXD018220,[33450211],10.1016/j.molcel.2020.12.025,PMC7939521
PXD018223,[32956847],10.1016/j.molmet.2020.101085,PMC7560164
PXD018224,[36914713],10.1038/s42003-023-04641-4,PMC10011552
PXD018225,[32358195],10.1073/pnas.2001387117,PMC7245117
PXD018226,[32466393],10.3390/cancers12061350,PMC7352284
PXD018230,[33806447],10.3390/cancers13051097,PMC7961698
PXD018231,[32570968],10.3390/ijms21124350,PMC7352621
PXD018232,[32999288],10.1038/s41467-020-18707-y,PMC7528018
PXD018233,[33148271],10.1186/s12964-020-00669-9,PMC7641822
PXD018234,[35066208],10.1016/j.jprot.2022.104486,
PXD018244,[33571422],10.1016/j.molcel.2020.12.046,PMC7980223
PXD018245,[32291306],10.1128/mbio.02937-19,PMC7157824
PXD018246,[33847835],10.1007/s00395-021-00865-9,PMC8043893
PXD018247,[32255623],10.1021/acs.analchem.0c00077,
PXD018248,[32419461],10.1021/acs.jproteome.0c00226,PMC7542658
PXD018251,,10.1126/SCIENCE.ABP9201,
PXD018252,[32612236],10.1038/s41586-020-2446-y,PMC7351614
PXD018253,[32451439],10.1038/s41556-020-0523-y,
PXD018255,[32865869],10.1002/pmic.202000167,
PXD018256,[32375062],10.1016/j.cmet.2020.04.011,PMC9375823
PXD018257,[32344885],10.3390/ijms21093037,PMC7246457
PXD018260,[32344885],10.3390/ijms21093037,PMC7246457
PXD018264,[32652221],10.1016/j.jprot.2020.103889,
PXD018265,[32299913],10.1074/jbc.ra119.011903,PMC7397114
PXD018269,,10.1002/PMIC.202000084,
PXD018270,[32587248],10.1038/s41467-020-17027-5,PMC7316778
PXD018271,[32292164],10.7554/elife.53036,PMC7920553
PXD018272,[32591520],10.1038/s41467-020-17010-0,PMC7320153
PXD018273,[33226818],10.1021/acs.jproteome.0c00508,
PXD018275,[33096306],10.1016/j.jprot.2020.104020,
PXD018291,[32955856],10.1021/acs.analchem.0c00452,
PXD018294,[32368190],10.1186/s12953-020-00160-w,PMC7189645
PXD018296,[33388318],10.1053/j.gastro.2020.12.061,
PXD018297,[32456249],10.3390/ijms21103687,PMC7279449
PXD018298,[33382035],10.7554/elife.64940,PMC7857729
PXD018299,[33214684],10.1038/s41416-020-01167-y,PMC7884788
PXD018300,[33284994],10.1002/ijc.33423,
PXD018301,[32795414],10.1016/j.cell.2020.07.009,PMC7522766
PXD018302,[33087697],10.1038/s41467-020-19141-w,PMC7577998
PXD018304,[34429501],10.1038/s41598-021-96635-7,PMC8385024
PXD018305,[34673281],10.1016/j.mcpro.2021.100163,PMC8603206
PXD018310,[32496805],10.1021/acs.jproteome.0c00111,PMC7369150
PXD018313,[35585045],10.1038/s41467-022-30322-7,PMC9117268
PXD018314,[33843278],10.1152/ajpendo.00473.2020,
PXD018315,[32341350],10.1038/s41467-020-15995-2,PMC7184724
PXD018321,[32267065],10.1002/pmic.202000007,
PXD018324,[32669362],10.1074/jbc.ra120.013519,PMC7476725
PXD018325,[33372049],10.1074/mcp.ra120.002301,
PXD018326,[32694662],10.1038/s42255-020-0204-y,
PXD018329,[32554797],10.1074/mcp.ra120.002069,PMC8143631
PXD018330,[32410369],10.15252/embr.201948035,PMC7332986
PXD018331,[32295845],10.1242/jcs.242271,PMC7272336
PXD018333,[32642759],10.1083/jcb.201912061,PMC7480091
PXD018334,[35986171],10.1038/s42003-022-03800-3,PMC9391396
PXD018337,[32487994],10.1038/s41467-020-16337-y,PMC7265481
PXD018342,[32546623],10.1128/mbio.01027-20,PMC7298713
PXD018344,[32832656],10.1126/sciadv.aaz2590,PMC7439345
PXD018348,[33224174],10.3389/fpls.2020.595792,PMC7674640
PXD018349,[33077710],10.1038/s41467-020-19052-w,PMC7572468
PXD018350,[32627867],10.15252/embj.2019103373,PMC7429739
PXD018357,[32877642],10.1016/j.molcel.2020.08.006,PMC7418786
PXD018359,[32512867],10.3390/cancers12061466,PMC7352627
PXD018360,[32484334],10.1021/acs.analchem.0c01470,
PXD018361,[32817546],10.1073/pnas.1921890117,PMC7474676
PXD018362,[32411709],10.3389/fcell.2020.00308,PMC7198708
PXD018363,[34230103],10.1681/asn.2020071035,PMC8729841
PXD018364,[32431710],10.3389/fimmu.2020.00797,PMC7214933
PXD018365,[34113809],10.1016/j.isci.2021.102435,PMC8169803
PXD018367,"[32637480, 31978840]","10.1016/j.dib.2020.105860,10.1016/j.biomaterials.2019.119705",PMC7327418
PXD018369,[32478154],10.1016/j.dib.2020.105704,PMC7251648
PXD018372,[33574060],10.1073/pnas.2014920118,PMC7896289
PXD018373,[32415063],10.1038/s41467-020-16280-y,PMC7229227
PXD018374,[32807795],10.1038/s41467-020-17920-z,PMC7431413
PXD018377,[32415096],10.1038/s41467-020-16140-9,PMC7229031
PXD018383,[32500712],10.1021/acs.jproteome.0c00113,
PXD018386,,10.1016/J.JCF.2020.12.019,
PXD018389,[32477358],10.3389/fimmu.2020.00887,PMC7236881
PXD018390,,10.1038/S41423-022-00957-Z,
PXD018392,,10.1007/S42485-020-00033-Y,
PXD018399,[32558274],10.15252/msb.20209596,PMC7301280
PXD018403,[32859966],10.1038/s42003-020-01201-y,PMC7455721
PXD018404,[33552997],10.3389/fcimb.2020.561382,PMC7859105
PXD018405,,10.1139/CJM-2020-0239,
PXD018409,[34893614],"10.1038/s41467-021-27422-1,10.1038/S41467-021-27422-1",PMC8664928
PXD018416,[33737539],10.1038/s41598-021-85342-y,PMC7973504
PXD018418,[32710848],10.1016/j.devcel.2020.06.039,PMC7497784
PXD018422,[32646969],10.1261/rna.076992.120,PMC7491321
PXD018425,[32454065],10.1016/j.jid.2020.05.080,PMC7680721
PXD018426,[33328633],10.1038/s41586-020-03048-z,
PXD018427,[32449362],10.1021/acs.jproteome.0c00252,
PXD018430,[32602849],10.18632/aging.103461,PMC7377841
PXD018439,[32583429],10.1002/rcm.8873,
PXD018444,[32583429],10.1002/rcm.8873,
PXD018445,[32442378],10.1021/acs.analchem.0c01749,PMC7537974
PXD018446,[33937930],10.1007/s00253-021-11309-8,PMC8102462
PXD018448,[34818587],10.1016/j.jprot.2021.104428,
PXD018449,[32385243],10.1038/s41467-020-16061-7,PMC7210311
PXD018450,[32471280],10.3390/ijms21113813,PMC7312985
PXD018452,[35013249],10.1038/s41467-021-27693-8,PMC8748809
PXD018461,[32665710],10.1038/s41396-020-0715-2,PMC7785015
PXD018502,[32412768],10.1021/acs.jproteome.0c00270,PMC7429342
PXD018505,[32857759],10.1371/journal.pone.0233247,PMC7455042
PXD018506,[33581318],10.1074/mcp.ra120.002295,
PXD018508,[32582128],10.3389/fmicb.2020.01239,PMC7296052
PXD018509,[32982747],10.3389/fphar.2020.01337,PMC7490561
PXD018510,[33284343],10.1042/bcj20200674,PMC7813475
PXD018511,[32630776],10.3390/molecules25133028,PMC7411631
PXD018514,,10.1038/S41589-022-01119-Y,
PXD018515,[32994493],10.1038/s41598-020-72625-z,PMC7524756
PXD018516,[32596057],10.7717/peerj.9387,PMC7307558
PXD018517,[32738194],10.1016/j.molcel.2020.07.009,PMC7482433
PXD018520,[32441514],10.1021/acs.analchem.0c00762,
PXD018522,[32487244],10.1186/s13071-020-04148-5,PMC7268490
PXD018523,[33505370],10.3389/fmicb.2020.597818,PMC7829351
PXD018529,[35652611],10.1002/pmic.202100255,
PXD018531,[32714760],10.1002/advs.202000531,PMC7375233
PXD018533,[32849460],10.3389/fmicb.2020.01876,PMC7423881
PXD018535,[35231105],10.1182/blood.2021012197,PMC11022928
PXD018539,[33740418],10.1016/j.immuni.2021.03.001,
PXD018540,[33740418],10.1016/j.immuni.2021.03.001,
PXD018541,[33740418],10.1016/j.immuni.2021.03.001,
PXD018542,[33740418],10.1016/j.immuni.2021.03.001,
PXD018543,[33740418],10.1016/j.immuni.2021.03.001,
PXD018545,[32698045],10.1016/j.bbadis.2020.165899,
PXD018546,[32908168],10.1038/s41598-020-71828-8,PMC7481182
PXD018547,[32908168],10.1038/s41598-020-71828-8,PMC7481182
PXD018549,[33352117],10.1016/j.chembiol.2020.11.011,PMC8206239
PXD018550,[33284343],10.1042/bcj20200674,PMC7813475
PXD018554,[32376681],10.1242/dev.188052,
PXD018561,[33122333],10.1074/mcp.tir120.002343,
PXD018563,[32807891],10.1038/s41564-020-0773-2,
PXD018564,[33122656],10.1038/s41467-020-19295-7,PMC7596563
PXD018565,[32449352],10.1021/acs.jproteome.0c00254,PMC7429271
PXD018569,[32690943],10.1038/s41589-020-0572-3,
PXD018570,[32690943],10.1038/s41589-020-0572-3,
PXD018571,[32690943],10.1038/s41589-020-0572-3,
PXD018572,[32690943],10.1038/s41589-020-0572-3,
PXD018573,[32690943],10.1038/s41589-020-0572-3,
PXD018574,[32690943],10.1038/s41589-020-0572-3,
PXD018575,[33658510],10.1038/s41467-021-21686-3,PMC7930113
PXD018577,[32984049],10.3389/fonc.2020.01698,PMC7483484
PXD018584,[32697996],10.1016/j.celrep.2020.107933,
PXD018585,[32503348],10.3390/cells9061397,PMC7349116
PXD018586,[33352881],10.3390/biomedicines8120627,PMC7766432
PXD018588,[32424025],10.1074/mcp.ra119.001777,PMC8015005
PXD018589,[32319746],10.1021/acs.analchem.0c01059,PMC7271076
PXD018590,[31926610],10.1016/j.neuron.2019.12.015,PMC7318843
PXD018591,[32398688],10.1038/s41467-020-16146-3,PMC7217942
PXD018592,[33596425],10.1016/j.celrep.2021.108757,
PXD018594,[32619390],10.1080/22221751.2020.1791737,PMC7473198
PXD018596,[33939431],10.1021/acs.jproteome.0c00883,
PXD018599,[33783707],10.1007/s11356-021-13073-8,
PXD018602,[33226812],10.1021/acs.jproteome.0c00551,
PXD018603,,10.1126/SCISIGNAL.ABL7989,
PXD018604,[32385109],10.1074/jbc.ra119.011991,PMC7324529
PXD018621,[32451438],10.1038/s42003-020-0984-3,PMC7248108
PXD018624,[36131016],10.1038/s41586-022-05221-y,PMC10510443
PXD018625,[32451438],10.1038/s42003-020-0984-3,PMC7248108
PXD018632,[33088286],10.1590/1678-9199-jvatitd-2020-0055,PMC7546584
PXD018635,[34929254],10.1016/j.kint.2021.11.030,
PXD018636,[34929254],10.1016/j.kint.2021.11.030,
PXD018637,[34929254],10.1016/j.kint.2021.11.030,
